h   Derivada simétrica 3 pontos   Derivada para frente 2 pontos   Derivada para trás 2 pontos   Derivada segunda simétrica 3 pontos   Derivada segunda simétrica 5 pontos   Derivada terceira anti-simétrica 5 pontos   
 5.0E-01  0.10685281944005476       0.14000725849147100       0.35371289737158051        2.7440311726103062E-002   3.8083267292325473E-002   1.0928683356301832     
 2.0E-01   1.8503940709211686E-002   7.8162843215790034E-002  0.11517072463421341        6.6678392500164607E-003   1.8277992031824342E-003  0.20222918699597248     
 1.0E-01   4.6765268515643887E-003   4.3411484337507855E-002   5.2764538040636522E-002   1.7602237814435817E-003   1.2435195858828685E-004   5.0517228470542630E-002
 5.0E-02   1.1722835239438290E-003   2.2838866623503096E-002   2.5183433671390643E-002   4.4600589787457956E-004   7.9332700145817725E-006   1.2605337903552893E-002
 1.0E-02   4.6931653958304231E-005   4.7531579300659210E-003   4.8470212379824185E-003   1.7916804833983946E-005   1.2775509983242728E-008   5.0382506229640356E-004
 5.0E-03   1.1733228374333216E-005   2.3882779711332791E-003   2.4117444278819455E-003   4.4798030449655357E-006   8.0133832902617996E-010   1.2595328675990558E-004
 1.0E-03   4.6933316055763896E-007   4.7953075645934540E-004   4.8046942278046068E-004   1.7923980610845547E-007   6.6000649390218769E-011   5.0211335791416900E-006
 5.0E-04   1.1733342564212990E-007   2.3988267780006289E-004   2.4011734465134715E-004   4.4902820128811527E-008   1.4232848233319828E-010   2.1206759273084685E-006
 1.0E-04   4.6935004771597733E-009   4.7995306030168550E-005   4.8004693031122869E-005   9.3870857753586279E-009   1.6788572754222741E-008   2.5647651371585312E-006
 5.0E-05   1.1732608218295582E-009   2.3998828169835562E-005   2.4001174691479221E-005   5.7226295702150765E-008   7.6655198522068702E-008   1.9172426417224386E-004
 1.0E-05   4.0833447734200945E-011   4.7999584534830220E-006   4.8000401203784904E-006   1.4261384884139972E-007   1.4261384884139972E-007  0.11221322744884965     
 1.0E-06   2.3004487204048019E-011   4.8000017360827485E-007   4.7995416463386675E-007   4.5661757858361796E-005   5.7226581031577517E-005   94.328514654701209     
 1.0E-07   5.5036042390099738E-010   4.8428728360860873E-008   4.7328007513058878E-008   2.4326412608023373E-003   6.3646811396831371E-003   111019.48646251568     
 1.0E-08   3.7422516196983224E-009   7.9055879620426595E-009   4.2108472264601460E-010  0.12733273153113267        1.1684499799345605E-002   83266724.030886725     
