N   h   Regra do trapézio   Regra de Simpson   Regra de Bode   
    4  0.25000000000000000       0.11275671745006877        1.6515632779270928E-004  0.18386666017699876     
    8  0.12500000000000000        9.2030550866517846E-002   1.0157724641329802E-005  0.12888058401292185     
   16   6.2500000000000000E-002   8.6852025628477714E-002   6.3231779545702693E-007   6.7762780989034099E-002
   32   3.1250000000000000E-002   8.5557583392207759E-002   3.9480294866667265E-008   3.4034965933558925E-002
   64   1.5625000000000000E-002   8.5233984658727613E-002   2.4669007392397191E-009   1.6976374548071438E-002
  128   7.8125000000000000E-003   8.5153085714589294E-002   1.5417178644838714E-010   8.4683282230630375E-003
  256   3.9062500000000000E-003   8.5132861024758838E-002   9.6357644085998118E-012   4.2280248878100446E-003
  512   1.9531250000000000E-003   8.5127804855189171E-002   6.0237925758599431E-013   2.1123323170668673E-003
 1024   9.7656250000000000E-004   8.5126540812977214E-002   3.7747582837255322E-014   1.0557280556006410E-003
 2048   4.8828125000000000E-004   8.5126224802434369E-002   2.5257573810222311E-015   5.2775224906234652E-004
 4096   2.4414062500000000E-004   8.5126145799800740E-002   3.6082248300317588E-016   2.6384789859049129E-004
